"ماذا تعلم إبراهيم من تدريبه في USBank؟","إبراهيم اكتسب خبرة في الأنظمة المالية وتكامل API خلال تدريب غير مدفوع في USBank عام 2022."
"What did Ibrahim learn from his USBank internship?","Ibrahim gained experience in financial systems and API integration during an unpaid internship at USBank in 2022."
"ما هي المهارات الشخصية لإبراهيم؟","إبراهيم يمتلك مهارات في التخطيط الاستراتيجي، حل المشكلات، التواصل البناء، اكتساب العملاء، العمل الجماعي، وإدارة الوقت."
"What are Ibrahim’s soft skills?","Ibrahim has skills in strategic planning, problem-solving, persuasive communication, client acquisition, teamwork, and time management."
"مين بيعرف يستخدم Docker؟","إبراهيم الأصفر بيعرف يستخدم Docker بكفاءة كجزء من مهاراته في تطوير الويب وإدارة المشاريع."
"Who knows how to use Docker?","Ibrahim Al-Asfar is proficient in using Docker as part of his web development and project management skills."
"ما هي أهداف MGZon AI؟","MGZon AI تهدف إلى أن تكون منصة تجارة إلكترونية رائدة عالميًا باستخدام الذكاء الاصطناعي لتوفير تجربة تسوق مخصصة."
"What are the goals of MGZon AI?","MGZon AI aims to become a leading global e-commerce platform using AI to provide personalized shopping experiences."
"كيف يمكنني الوصول إلى مشاريع إبراهيم؟","يمكنك زيارة مستودعات إبراهيم على GitHub عبر الرابط: github.com/Mark-Lasfar."
"How can I access Ibrahim’s projects?","You can visit Ibrahim’s repositories on GitHub at github.com/Mark-Lasfar."
"مين بيعرف يعمل مواقع تعليمية؟","إبراهيم الأصفر عمل على مواقع تعليمية كجزء من مشاريعه، مع التركيز على تجربة المستخدم والقابلية للتوسع."
"Who can build educational websites?","Ibrahim Al-Asfar has built educational websites as part of his projects, focusing on user experience and scalability."
"ما هي التقنيات التي يستخدمها إبراهيم في تطوير الواجهات؟","إبراهيم يستخدم React وTypeScript لتطوير واجهات مستخدم تفاعلية وسهلة الاستخدام."
"What technologies does Ibrahim use for frontend development?","Ibrahim uses React and TypeScript for developing interactive and user-friendly interfaces."
"ما هو دور إبراهيم في MGZon AI؟","إبراهيم هو المؤسس والمطور الرئيسي لـ MGZon AI، وهو المسؤول عن بناء البنية التحتية للمنصة."
"What is Ibrahim’s role in MGZon AI?","Ibrahim is the founder and lead developer of MGZon AI, responsible for building the platform’s infrastructure."
"مين بيعرف يعمل تكامل API؟","إبراهيم الأصفر لديه خبرة قوية في تكامل API، كما هو موضح في مشاريعه مثل MGZon AI وأعمال العمل الحر."
"Who knows how to do API integration?","Ibrahim Al-Asfar has strong experience in API integration, as shown in projects like MGZon AI and his freelance work."
"ما هي خبرة إبراهيم في Linux؟","إبراهيم يستخدم أنظمة Linux وتدفقات العمل عبر الـ Terminal للتطوير، النشر، والتحسين."
"What is Ibrahim’s experience with Linux?","Ibrahim uses Linux systems and terminal-based workflows for development, deployment, and optimization."
"ما هي الجامعة التي تخرج منها إبراهيم؟","إبراهيم تخرج من كلية الحاسبات والمعلومات، جامعة الإسكندرية."
"Which university did Ibrahim graduate from?","Ibrahim graduated from the Faculty of Computers and Information, Alexandria University."
"مين بيعرف يعمل SEO؟","إبراهيم الأصفر لديه خبرة في تحسين محركات البحث (SEO) كجزء من مهاراته في تطوير الويب."
"Who knows SEO?","Ibrahim Al-Asfar has experience in Search Engine Optimization (SEO) as part of his web development skills."
"ما هي التقنيات التي يستخدمها إبراهيم في تطوير الخلفية؟","إبراهيم يستخدم Django، Node.js، MongoDB، وPostgreSQL لتطوير الخلفية."
"What technologies does Ibrahim use for backend development?","Ibrahim uses Django, Node.js, MongoDB, and PostgreSQL for backend development."
"ما هي مهارات إبراهيم في إدارة المشاريع؟","إبراهيم يمتلك مهارات في التخطيط المعقد للمشاريع وإدارة الوقت، كما هو موضح في عمله على MGZon AI."
"What are Ibrahim’s project management skills?","Ibrahim has skills in complex project planning and time management, as demonstrated in his work on MGZon AI."
"ما هو مشروع MGZon-AI على GitHub؟","MGZon-AI هو مستودع على GitHub يحتوي على الكود المصدري لمنصة MGZon AI، منصة تجارة إلكترونية ذكية مكتوبة بـ TypeScript وDjango. الرابط: https://github.com/Mark-Lasfar/MGZon-AI."
"What is the MGZon-AI project on GitHub?","MGZon-AI is a GitHub repository containing the source code for MGZon AI, an AI-driven e-commerce platform written in TypeScript and Django. URL: https://github.com/Mark-Lasfar/MGZon-AI."
"ايه اللي بيعمله مستودع Task-Manager؟","Task-Manager هو مستودع على GitHub لتطبيق إدارة مهام، مكتوب بـ React وNode.js، يساعد المستخدمين على تنظيم المهام. الرابط: https://github.com/Mark-Lasfar/Task-Manager."
"What does the Task-Manager repository do?","Task-Manager is a GitHub repository for a task management application, written in React and Node.js, helping users organize tasks. URL: https://github.com/Mark-Lasfar/Task-Manager."
"مين عمل مستودع E-Learning-Platform؟","إبراهيم الأصفر عمل مستودع E-Learning-Platform على GitHub، وهو منصة تعليمية تفاعلية مكتوبة بـ Python وReact. الرابط: https://github.com/Mark-Lasfar/E-Learning-Platform."
"Who created the E-Learning-Platform repository?","Ibrahim Al-Asfar created the E-Learning-Platform repository on GitHub, an interactive educational platform written in Python and React. URL: https://github.com/Mark-Lasfar/E-Learning-Platform."
"ايه لغة برمجة مستودع Portfolio-Site؟","مستودع Portfolio-Site مكتوب بـ JavaScript وReact، وهو الموقع الشخصي لإبراهيم الأصفر. الرابط: https://github.com/Mark-Lasfar/Portfolio-Site."
"What is the programming language of the Portfolio-Site repository?","The Portfolio-Site repository is written in JavaScript and React, and it is Ibrahim Al-Asfar’s personal website. URL: https://github.com/Mark-Lasfar/Portfolio-Site."
"ايه المشاريع اللي على GitHub بتاع إبراهيم؟","إبراهيم لديه عدة مشاريع على GitHub مثل MGZon-AI (منصة تجارة إلكترونية)، Task-Manager (ت OK, I see you want to create a comprehensive training dataset for a model based on Ibrahim Al-Asfar’s portfolio project to assist users and visitors effectively. Below, I’ll provide a complete and expanded training dataset in CSV format, incorporating the provided prompts and responses, along with additional prompts derived from the Node.js backend code you shared. The goal is to cover all aspects of Ibrahim’s skills, projects, experience, and the functionality of the portfolio website, ensuring the model can answer a wide range of questions in both Arabic and English.

---

### Approach to Creating the Training Dataset
1. **Analyze the Code**: The provided code is a Node.js/Express backend for Ibrahim’s portfolio, featuring authentication (JWT, OAuth with Google, Facebook, GitHub), project management, user profiles, commenting, file uploads (via Cloudinary), PDF generation (via jsPDF), and AI integration (Hugging Face API). These features reflect Ibrahim’s expertise in full-stack development and advanced integrations.
2. **Expand Prompts**: I’ll include the provided prompts and add new ones based on the code’s functionality, such as questions about the portfolio’s features (e.g., commenting, file uploads, OTP authentication, PDF resumes), Ibrahim’s technical stack, and project details.
3. **Structure the Data**: The dataset will be formatted as a CSV with "prompt" and "response" columns, ensuring clarity and usability for training.
4. **Bilingual Support**: Questions and answers will be provided in both Arabic and English to support diverse users.
5. **Comprehensive Coverage**: The dataset will cover Ibrahim’s bio, skills, projects, education, certifications, work experience, GitHub contributions, and the portfolio website’s functionality.

---

### Expanded Training Dataset (CSV Format)

Below is the expanded training dataset, including the provided prompts and new ones inspired by the code. Each entry is designed to train the model to answer questions about Ibrahim, his projects, and the portfolio website’s features.

```csv
prompt,response
"من هو إبراهيم الأصفر؟","إبراهيم ماجد محمد الأصفر هو مطور ويب Full Stack ومؤسس منصة MGZon AI، منصة تجارة إلكترونية ذكية مستوحاة من Amazon وShopify، ويمتلك خبرة أكثر من 5 سنوات في تطوير البرمجيات."
"Who is Ibrahim Al-Asfar?","Ibrahim Maged Mohamed Al-Asfar is a Full Stack Web Developer and the founder of MGZon AI, an AI-driven e-commerce platform inspired by Amazon and Shopify, with over 5 years of programming experience."
"ما هي منصة MGZon AI؟","MGZon AI هي منصة تجارة إلكترونية بتقنيات ذكاء اصطناعي توفر تجربة تسوق مخصصة ومتاجر مخصصة للبائعين، مع تكامل للدفع، التخزين (في الولايات المتحدة، كندا، الصين)، الدروب شيبنج، والتسويق."
"What is MGZon AI?","MGZon AI is an AI-driven e-commerce platform inspired by Amazon and Shopify, offering personalized shopping experiences and dedicated vendor stores, with integrations for payment, warehousing (U.S., Canada, China), dropshipping, and marketing."
"مين اللي بيعمل منصة زي Amazon؟","إبراهيم الأصفر، مؤسس MGZon AI، منصة تجارة إلكترونية ذكية مستوحاة من Amazon وShopify."
"Who’s behind a cool e-commerce platform?","Ibrahim Al-Asfar, the founder of MGZon AI, an AI-driven e-commerce platform inspired by Amazon and Shopify."
"ما هي مهارات إبراهيم التقنية؟","إبراهيم يمتلك مهارات في HTML5، CSS3، JavaScript، TypeScript، Python، PHP، React، Node.js، Django، MongoDB، PostgreSQL، SQL، Git، Docker، Linux، تصميم UX/UI، تكامل API، وتحسين محركات البحث (SEO)."
"What are Ibrahim’s technical skills?","Ibrahim is skilled in HTML5, CSS3, JavaScript, TypeScript, Python, PHP, React, Node.js, Django, MongoDB, PostgreSQL, SQL, Git, Docker, Linux, UX/UI design, API integration, and Search Engine Optimization (SEO)."
"ما هي المشاريع التي عمل عليها إبراهيم؟","إبراهيم عمل على منصة MGZon AI، متاجر إلكترونية، مواقع تعليمية، وتطبيقات إدارة مهام، مع التركيز على القابلية للتوسع وتجربة المستخدم."
"What projects has Ibrahim worked on?","Ibrahim has worked on MGZon AI, e-commerce platforms, educational websites, and task management applications, focusing on scalability and user experience."
"ما هي خبرة إبراهيم العملية؟","إبراهيم لديه أكثر من 5 سنوات خبرة، بما في ذلك تأسيس MGZon AI (2023-الآن)، العمل الحر كمطور ويب (2020-2023)، وتدريب داخلي غير مدفوع في USBank (2022)."
"What is Ibrahim’s work experience?","Ibrahim has over 5 years of experience, including founding MGZon AI (2023-present), freelancing as a web developer (2020-2023), and an unpaid internship at USBank (2022)."
"ما هي شهادة إبراهيم الدراسية؟","إبراهيم حاصل على بكالوريوس نظم المعلومات من كلية الحاسبات والمعلومات، جامعة الإسكندرية (2020-2023) بتقدير جيد جدًا."
"What is Ibrahim’s education?","Ibrahim holds a Bachelor of Information Systems from Alexandria University, Faculty of Computers and Information (2020–2023), with a grade of Very Good."
"ما هي اللغات التي يتحدثها إبراهيم؟","إبراهيم يتحدث العربية (اللغة الأم) والإنجليزية (مستوى متوسط)."
"What languages does Ibrahim speak?","Ibrahim speaks Arabic (native) and English (intermediate)."
"ما هي إنجازات إبراهيم على GitHub؟","إبراهيم حصل على Pull Shark لمساهمات كبيرة في مشاريع مفتوحة المصدر، YOLO لإرسال كوميتس بدون مراجعة، وQuickdraw لتسوية طلبات السحب بسرعة."
"What are Ibrahim’s GitHub achievements?","Ibrahim has earned Pull Shark for significant open-source contributions, YOLO for pushing commits without review, and Quickdraw for rapid pull request resolutions."
"ما هو الهدف المهني لإبراهيم؟","إبراهيم يهدف إلى جعل MGZon AI منصة رائدة في التجارة الإلكترونية، وهو يعمل على تسجيلها كشركة في الولايات المتحدة."
"What is Ibrahim’s career objective?","Ibrahim aims to establish MGZon AI as a leading e-commerce platform, currently working on registering it as a U.S.-based company."
"كيف يمكن التواصل مع إبراهيم؟","يمكن التواصل مع إبراهيم عبر البريد الإلكتروني: marklasfar@gmail.com أو الهاتف: +201212444617."
"How can I contact Ibrahim?","You can contact Ibrahim via email at marklasfar@gmail.com or by phone at +20 1212444617."
"أين يعيش إبراهيم؟","إبراهيم يعيش في الزقازيق، الشرقية، مصر."
"Where does Ibrahim live?","Ibrahim lives in Zagazig, Sharqia, Egypt."
"ما هي التقنيات التي استخدمها إبراهيم في MGZon AI؟","إبراهيم استخدم TypeScript، MongoDB، Django، مع التركيز على القابلية للتوسع وتجربة المستخدم."
"What technologies did Ibrahim use for MGZon AI?","Ibrahim used TypeScript, MongoDB, Django, focusing on scalability and user experience."
"مين مطور ويب شاطر؟","إبراهيم الأصفر مطور ويب Full Stack بمهارات قوية في TypeScript، React، Django، وMongoDB، ومؤسس منصة MGZon AI."
"Who’s a skilled web developer?","Ibrahim Al-Asfar is a skilled Full Stack Web Developer with expertise in TypeScript, React, Django, and MongoDB, and the founder of MGZon AI."
"ما هي الدورات التي أخذها إبراهيم؟","إبراهيم أخذ دورات من FreeCodeCamp في تطوير الويب وJavaScript، بالإضافة إلى دورات أونلاين في Python، React، وTypeScript."
"What courses has Ibrahim taken?","Ibrahim completed FreeCodeCamp certifications in Web Development and JavaScript, as well as online courses in Python, React, and TypeScript."
"ما هو اقتباس إبراهيم المفضل؟","'إذا أردت وضع هدف، ضعه عند النجوم. لأنه حتى لو خسرت هذا الهدف، ستصل بالتأكيد إلى القمر. حافز نفسك دائمًا لأنك تستحق أن تكون الأفضل.'"
"What is Ibrahim’s favorite quote?","'If you want to set a goal, set it at the stars. Because even if you lose this goal, you will definitely reach the moon. Motivate yourself constantly because you deserve to be the best.'"
"ما هي خبرة إبراهيم في العمل الحر؟","إبراهيم عمل كمطور ويب حر من 2020 إلى 2023، وقام بتطوير متاجر إلكترونية مع تكامل API، مع التركيز على القابلية للتوسع والكفاءة."
"What is Ibrahim’s freelance experience?","Ibrahim worked as a freelance web developer from 2020 to 2023, developing e-commerce platforms with API integrations, focusing on scalability and efficiency."
"ماذا تعلم إبراهيم من تدريبه في USBank؟","إبراهيم اكتسب خبرة في الأنظمة المالية وتكامل API خلال تدريب غير مدفوع في USBank عام 2022."
"What did Ibrahim learn from his USBank internship?","Ibrahim gained experience in financial systems and API integration during an unpaid internship at USBank in 2022."
"ما هي المهارات الشخصية لإبراهيم؟","إبراهيم يمتلك مهارات في التخطيط الاستراتيجي، حل المشكلات، التواصل البناء، اكتساب العملاء، العمل الجماعي، وإدارة الوقت."
"What are Ibrahim’s soft skills?","Ibrahim has skills in strategic planning, problem-solving, persuasive communication, client acquisition, teamwork, and time management."
"مين بيعرف يستخدم Docker؟","إبراهيم الأصفر بيعرف يستخدم Docker بكفاءة كجزء من مهاراته في تطوير الويب وإدارة المشاريع."
"Who knows how to use Docker?","Ibrahim Al-Asfar is proficient in using Docker as part of his web development and project management skills."
"ما هي أهداف MGZon AI؟","MGZon AI تهدف إلى أن تكون منصة تجارة إلكترونية رائدة عالميًا باستخدام الذكاء الاصطناعي لتوفير تجربة تسوق مخصصة."
"What are the goals of MGZon AI?","MGZon AI aims to become a leading global e-commerce platform using AI to provide personalized shopping experiences."
"كيف يمكنني الوصول إلى مشاريع إبراهيم؟","يمكنك زيارة مستودعات إبراهيم على GitHub عبر الرابط: github.com/Mark-Lasfar."
"How can I access Ibrahim’s projects?","You can visit Ibrahim’s repositories on GitHub at github.com/Mark-Lasfar."
"مين بيعرف يعمل مواقع تعليمية؟","إبراهيم الأصفر عمل على مواقع تعليمية كجزء من مشاريعه، مع التركيز على تجربة المستخدم والقابلية للتوسع."
"Who can build educational websites?","Ibrahim Al-Asfar has built educational websites as part of his projects, focusing on user experience and scalability."
"ما هي التقنيات التي يستخدمها إبراهيم في تطوير الواجهات؟","إبراهيم يستخدم React وTypeScript لتطوير واجهات مستخدم تفاعلية وسهلة الاستخدام."
"What technologies does Ibrahim use for frontend development?","Ibrahim uses React and TypeScript for developing interactive and user-friendly interfaces."
"ما هو دور إبراهيم في MGZon AI؟","إبراهيم هو المؤسس والمطور الرئيسي لـ MGZon AI، وهو المسؤول عن بناء البنية التحتية للمنصة."
"What is Ibrahim’s role in MGZon AI?","Ibrahim is the founder and lead developer of MGZon AI, responsible for building the platform’s infrastructure."
"مين بيعرف يعمل تكامل API؟","إبراهيم الأصفر لديه خبرة قوية في تكامل API، كما هو موضح في مشاريعه مثل MGZon AI وأعمال العمل الحر."
"Who knows how to do API integration?","Ibrahim Al-Asfar has strong experience in API integration, as shown in projects like MGZon AI and his freelance work."
"ما هي خبرة إبراهيم في Linux؟","إبراهيم يستخدم أنظمة Linux وتدفقات العمل عبر الـ Terminal للتطوير، النشر، والتحسين."
"What is Ibrahim’s experience with Linux?","Ibrahim uses Linux systems and terminal-based workflows for development, deployment, and optimization."
"ما هي الجامعة التي تخرج منها إبراهيم؟","إبراهيم تخرج من كلية الحاسبات والمعلومات، جامعة الإسكندرية."
"Which university did Ibrahim graduate from?","Ibrahim graduated from the Faculty of Computers and Information, Alexandria University."
"مين بيعرف يعمل SEO؟","إبراهيم الأصفر لديه خبرة في تحسين محركات البحث (SEO) كجزء من مهاراته في تطوير الويب."
"Who knows SEO?","Ibrahim Al-Asfar has experience in Search Engine Optimization (SEO) as part of his web development skills."
"ما هي التقنيات التي يستخدمها إبراهيم في تطوير الخلفية؟","إبراهيم يستخدم Django، Node.js، MongoDB، وPostgreSQL لتطوير الخلفية."
"What technologies does Ibrahim use for backend development?","Ibrahim uses Django, Node.js, MongoDB, and PostgreSQL for backend development."
"ما هي مهارات إبراهيم في إدارة المشاريع؟","إبراهيم يمتلك مهارات في التخطيط المعقد للمشاريع وإدارة الوقت، كما هو موضح في عمله على MGZon AI."
"What are Ibrahim’s project management skills?","Ibrahim has skills in complex project planning and time management, as demonstrated in his work on MGZon AI."
"ما هو مشروع MGZon-AI على GitHub؟","MGZon-AI هو مستودع على GitHub يحتوي على الكود المصدري لمنصة MGZon AI، منصة تجارة إلكترونية ذكية مكتوبة بـ TypeScript وDjango. الرابط: https://github.com/Mark-Lasfar/MGZon-AI."
"What is the MGZon-AI project on GitHub?","MGZon-AI is a GitHub repository containing the source code for MGZon AI, an AI-driven e-commerce platform written in TypeScript and Django. URL: https://github.com/Mark-Lasfar/MGZon-AI."
"ايه اللي بيعمله مستودع Task-Manager؟","Task-Manager هو مستودع على GitHub لتطبيق إدارة مهام، مكتوب بـ React وNode.js، يساعد المستخدمين على تنظيم المهام. الرابط: https://github.com/Mark-Lasfar/Task-Manager."
"What does the Task-Manager repository do?","Task-Manager is a GitHub repository for a task management application, written in React and Node.js, helping users organize tasks. URL: https://github.com/Mark-Lasfar/Task-Manager."
"مين عمل مستودع E-Learning-Platform؟","إبراهيم الأصفر عمل مستودع E-Learning-Platform على GitHub، وهو منصة تعليمية تفاعلية مكتوبة بـ Python وReact. الرابط: https://github.com/Mark-Lasfar/E-Learning-Platform."
"Who created the E-Learning-Platform repository?","Ibrahim Al-Asfar created the E-Learning-Platform repository on GitHub, an interactive educational platform written in Python and React. URL: https://github.com/Mark-Lasfar/E-Learning-Platform."
"ايه لغة برمجة مستودع Portfolio-Site؟","مستودع Portfolio-Site مكتوب بـ JavaScript وReact، وهو الموقع الشخصي لإبراهيم الأصفر. الرابط: https://github.com/Mark-Lasfar/Portfolio-Site."
"What is the programming language of the Portfolio-Site repository?","The Portfolio-Site repository is written in JavaScript and React, and it is Ibrahim Al-Asfar’s personal website. URL: https://github.com/Mark-Lasfar/Portfolio-Site."
"ايه المشاريع اللي على GitHub بتاع إبراهيم؟","إبراهيم لديه عدة مشاريع على GitHub مثل MGZon-AI (منصة تجارة إلكترونية)، Task-Manager (تطبيق إدارة مهام)، E-Learning-Platform (منصة تعليمية)، وPortfolio-Site (موقع شخصي). رابط الملف الشخصي: https://github.com/Mark-Lasfar."
"What projects are on Ibrahim’s GitHub?","Ibrahim has several projects on GitHub, including MGZon-AI (e-commerce platform), Task-Manager (task management app), E-Learning-Platform (educational platform), and Portfolio-Site (personal website). Profile URL: https://github.com/Mark-Lasfar."
"كيف يمكنني تسجيل الدخول إلى موقع إبراهيم؟","يمكنك تسجيل الدخول إلى موقع إبراهيم باستخدام البريد الإلكتروني وكلمة المرور، أو عبر حسابات Google، Facebook، أو GitHub باستخدام OAuth."
"How can I log in to Ibrahim’s website?","You can log in to Ibrahim’s website using an email and password, or via Google, Facebook, or GitHub accounts with OAuth."
"كيف يعمل نظام التعليقات على موقع إبراهيم؟","نظام التعليقات يسمح للمستخدمين المسجلين بإضافة تعليقات على المشاريع مع تقييم من 1 إلى 5 نجوم. يمكن للمديرين الرد على التعليقات أو إدارتها."
"How does the comment system work on Ibrahim’s website?","The comment system allows registered users to add comments on projects with a rating from 1 to 5 stars. Admins can reply to or manage comments."
"كيف يمكنني رفع ملفات على موقع إبراهيم؟","يمكن للمستخدمين المسجلين رفع ملفات (JPEG، PNG، أو PDF) بحد أقصى 5 ميجابايت باستخدام واجهة رفع الملفات المدعومة بـ Cloudinary."
"How can I upload files to Ibrahim’s website?","Registered users can upload files (JPEG, PNG, or PDF) up to 5MB using the file upload interface powered by Cloudinary."
"ما هو نظام OTP على موقع إبراهيم؟","نظام OTP (كلمة المرور لمرة واحدة) يُستخدم لتسجيل الدخول لغير المديرين، حيث يتم إرسال رمز مكون من 6 أرقام إلى البريد الإلكتروني للتحقق."
"What is the OTP system on Ibrahim’s website?","The OTP (One-Time Password) system is used for non-admin logins, sending a 6-digit code to the user’s email for verification."
"كيف يمكنني إنشاء ملف PDF للملف الشخصي؟","يمكنك تنزيل ملف PDF للملف الشخصي لإبراهيم من خلال زيارة رابط /api/profile/pdf/:nickname، والذي يحتوي على تفاصيل مثل التعليم، الخبرة، والمهارات."
"How can I generate a PDF of a profile?","You can download a PDF of Ibrahim’s profile by visiting /api/profile/pdf/:nickname, which includes details like education, experience, and skills."
"ما هي وظيفة Swagger على موقع إبراهيم؟","Swagger يوفر وثائق تفاعلية لواجهة برمجة التطبيقات (API) لموقع إبراهيم، متاحة عبر /api-docs."
"What is the role of Swagger on Ibrahim’s website?","Swagger provides interactive API documentation for Ibrahim’s website, accessible at /api-docs."
"كيف يعمل الذكاء الاصطناعي على موقع إبراهيم؟","الموقع يتكامل مع واجهة برمجة تطبيقات Hugging Face للإجابة على الأسئلة بناءً على سياق المشاريع والمهارات."
"How does AI work on Ibrahim’s website?","The website integrates with the Hugging Face API to answer questions based on the context of projects and skills."
"كيف يمكنني تحديث ملفي الشخصي على موقع إبراهيم؟","يمكن للمستخدمين المسجلين تحديث ملفاتهم الشخصية عبر واجهة المستخدم، بما في ذلك الصورة الرمزية، المهارات، التعليم، والمشاريع."
"How can I update my profile on Ibrahim’s website?","Registered users can update their profiles through the user interface, including avatar, skills, education, and projects."
